President	PER
Bush	PER
Mr.	PER
Bush	PER
government	ORG
Iraq	COU
the	PER
president	PER
Iran	COU
the	COU
United	COU
States	COU
U.S.	COU
Iran	COU
America	COU
New	CIT
York	CIT
Health	ORG
officials	ORG
New	CIT
York	CIT
Paige	PER
Kollock	PER
Sri	COU
Lanka	COU
Matara	CIT
Reuters	ORG
Indonesia	COU
Aceh	COU
province	COU
the	NAT
islands	NAT
Norway	COU
Brazil	COU
Argentina	COU
Argentine	COU
Argentine	CIT
capital	CIT
Buenos	CIT
Aires	CIT
Argentine	COU
Argentine	COU
Nestor	PER
Kirchner	PER
Brazilian	COU
Luis	PER
Inacio	PER
Lula	PER
da	PER
Silva	PER
Brasilia	CIT
Yugoslavia	COU
Jela	PER
de	PER
Franceschi	PER
Western	NAT
Balkans	NAT
Uruguay	COU
Uruguay	COU
Uruguay	COU
The	ORG
International	ORG
Organization	ORG
for	ORG
Migration	ORG
Australia	COU
Australia	COU
Britain	COU
Canada	COU
Denmark	COU
France	COU
Germany	COU
Iran	COU
Jordan	COU
the	COU
Netherlands	COU
Sweden	COU
Syria	COU
Turkey	COU
United	COU
Arab	COU
Emirates	COU
the	COU
United	COU
States	COU
International	ORG
Conference	ORG
on	ORG
Alzheimer	ORG
's,	ORG
Chicago	CIT
Illinois	COU
VOA	ORG
Melinda	PER
Smith	PER
bird	ANI
Japan	COU
bird	ANI
GOODY	ORG
PRODUCTS	ORG
Inc	ORG
Kearny	CIT
KFC	ORG
KFC	ORG
Kentucky	ORG
Fried	ORG
Chicken	ORG
Harlan	PER
David	PER
Sanders	PER
Colonel	PER
Sanders	PER
Kabul	CIT
Afghanistan	COU
KFC	ORG
KFC	ORG
Kabul	ORG
Fried	ORG
Chicken	ORG
Rahimgul	PER
Sarawan	PER
Kabul	CIT
KFC	ORG
Colonel	PER
Sanders	PER
Brian	PER
Allen	PER
Saudi	COU
Arabia	COU
Saudi	COU
Arabia	COU
Saudi	COU
kingdom	COU
Saudi	COU
Arabia	COU
al-Qaida	ORG
U.S.	COU
Japan	COU
Nikkei	ORG
index	ORG
Hong	COU
Kong	COU
Hang	ORG
Seng	ORG
index	ORG
Jan	NAT
Mayen	NAT
volcanic	NAT
island	NAT
waters	NAT
fish	ANI
Norway	COU
island	NAT
Sistan-Baluchestan	COU
U.S.	COU
New	CIT
York	CIT
United	COU
States	COU
United	COU
States	COU
China	COU
U.S.	COU
VOA	ORG
Mil	PER
Arcega	PER
Afghanistan	COU
U.S.	ORG
Marine	ORG
Taleban	ORG
Asadabad	CIT
Kandahar	CIT
Afghanistan	COU
Taleban	ORG
New	CIT
York	CIT
VOA	ORG
Mil	PER
Arcega	PER
Orissa	COU
state	COU
Bhubaneshwar	CIT
India	COU
Naxalites	ORG
Afghanistan	COU
Bagram	CIT
Ghazni	NAT
province	NAT
